Group,AA,GLY,OXO,SUL,TAU,tetra,UNC
X18NAVY30_V2_20180218.mzML_1,0,4160900,0,0,7299902,0,2195429
X11713.17.F.17G.mzML_1,0,25588330,0,0,65548640,0,0
X38802.mzXML_1,0,11678670,196245910,6867150,0,30915280,1172426680
X38790.mzXML_1,0,55271750,32730780,0,375491200,2939720,1139600470
Fecal.2.ACN_RB8_55.mzML_1,0,0,472026,0,171317,2207780,28627096
BP000098467_n.mzML_1,0,18546320,0,0,0,0,1511228535
X11713.15.F.15H.mzML_1,0,69352630,0,0,28260870,0,0
Fecal.1.6MeOH.4H2O_RA5_132.mzML_1,0,8519576,2787360,0,3352938,7957300,278430186
BP000098483_n.mzML_1,0,3282030,0,0,0,0,567222423
X39113.mzXML_1,0,59785250,177744700,0,219487220,132756400,1716824980
BP000097169_p.mzML_1,0,238904190,79422000,0,0,1448064,770136664
X11713.5.F.5C.mzML_1,0,21387360,0,0,346288830,0,0
BP000098427_n.mzML_1,0,3474040,0,0,0,0,168640600
X38719.mzXML_1,0,0,464966900,1086200,8041510,50135420,986796480
X18NAVY30_V1_20180125.mzML_1,0,0,0,0,0,0,0
X17NAVY18_V2_20170306.mzML_1,0,0,626678,0,0,0,13906024
dhmc_8_10.mzML_1,0,9123980,31180803,0,272424,8471240,599315060
Fecal.1.3ACN.3IPA.2H2O_RA11_199.mzML_1,0,32430313,17095496,0,10134652,8792042,45047867
X11713.13.F.13C.mzML_1,0,0,0,0,0,0,0
X11713.16.F.16B.mzML_1,0,59937650,0,0,188906480,0,0
X11713.16.F.16D.mzML_1,0,8162780,0,0,20502412,0,0
X38716.mzXML_1,0,109773340,303806730,6986400,150139700,122396140,2397880500
X38827.mzXML_1,2868040,210711900,975299700,0,881223020,115168480,1576830000
Fecal.2.3ACN.3IPA.2H2O_RB11_203.mzML_1,0,74105104,61844736,0,11762416,27563022,201845639
BP000096877_n.mzML_1,0,32630930,0,0,0,0,92132950
X38992.mzXML_1,0,171535980,79501960,7256160,474266150,76812480,1355241850
X38727.mzXML_1,0,126238130,568275,0,71808910,10951180,116442400
X15NAVY02_V1_20161122.mzML_1,0,0,0,0,0,0,2209380
BP000098339_p.mzML_1,0,142641133,107023890,0,0,4606220,930876640
X11713.24.F.24B.mzML_1,0,7959570,0,0,0,0,0
X11713.20.F.20A.mzML_1,0,8655530,0,0,40451799,0,0
X72852.mzML_1,1302444,254226648,112654800,0,43216726,3126800,398593770
X38866.mzXML_1,0,0,11016000,0,0,60013600,0
Fecal.2.5MeOH.5H2O_RB6_169.mzML_1,0,33043772,40850213,0,0,24020190,727456066
X11713.15.F.15D.mzML_1,0,35510520,0,0,57137700,0,0
X11713.17.F.17C.mzML_1,0,74837080,0,0,377495450,0,0
X39090.mzXML_1,0,6543710,0,0,74903800,25181000,375811840
BP000097061_p.mzML_1,0,1332760,0,0,0,0,368881420
