PlotOrder,UNC,GLY,TAU,AA,OXO,SUL,tetra
123,0.191562704,0.041786407,0,0,0.737813313,0,0.028837576
124,0.199537669,0,0,0,0.800462331,0,0
125,0.202012714,0.012546014,0,0,0.749932643,0,0.035508629
126,0.20643966,0.011919116,0.001581377,0.006915575,0.769592585,0,0.003551687
127,0.209027697,0.000357555,0,0,0.789067474,0,0.001547275
128,0.21148269,0,0,0,0.78851731,0,0
129,0.212605797,0.003430178,0,0,0.779287784,0,0.004676242
130,0.227027585,0.008808647,0,0,0.764163767,0,0
131,0.228667354,0.013081173,0.014633868,0,0.743617605,0,0
132,0.228724066,0,0,0,0.771275934,0,0
133,0.229717558,0.002423966,0,0,0.766210762,0,0.001647714
134,0.233051709,0,0.766948291,0,0,0,0
135,0.239848345,0,0,0,0.760151655,0,0
136,0.240333255,0,0,0,0.759666745,0,0
137,0.243809602,0.003763274,0,0,0.680478673,0,0.071948451
138,0.245945196,0.010589063,0,0,0.703669131,0,0.03979661
139,0.25883682,0,0,0,0.74116318,0,0
140,0.259121424,0.002041031,0,0,0.738837545,0,0
141,0.260043395,0.002979674,0,0,0.736976931,0,0
142,0.263735721,0.012394626,0,0,0.723869654,0,0
143,0.264485432,0,0,0,0.735514568,0,0
144,0.265439664,0.024964766,0,0,0.50455021,0.008217632,0.196827728
145,0.274026315,0,0,0,0.725973685,0,0
146,0.274076675,0.195348792,0.004648583,0,0.522538512,0,0.003387438
147,0.281568418,0.007136363,0.121079588,0,0.373340849,0,0.216874782
148,0.284041539,0,0,0,0.705368187,0,0.010590274
149,0.284928271,0,0.00848175,0,0.706589979,0,0
150,0.285408296,0,0,0,0.567239042,0,0.147352662
151,0.285557282,0.090129841,0,0,0.624312877,0,0
152,0.285666805,0.002792308,0.01534585,0.005087211,0.642601389,0,0.048506438
153,0.291056093,0.113483191,0,0,0.595460716,0,0
154,0.292132966,0,0.026208753,0,0.681658282,0,0
155,0.292208399,0,0,0,0.707791601,0,0
156,0.306117145,0.429735571,0.238615592,0,0.025531692,0,0
157,0.307202555,0.012891157,0,0,0.679906289,0,0
158,0.312519014,0.001415077,0,0,0.637191887,0,0.048874023
159,0.312719851,0.002891467,0,0,0.675588686,0,0.008799997
160,0.314110906,0.000874198,0,0,0.681168967,0,0.003845929
161,0.314175748,0.018528669,0,0,0.667295583,0,0
162,0.314449578,0,0,0,0.685550422,0,0
163,0.315598541,0,0,0,0.671730365,0,0.012671094
164,0.324447914,0.024945276,0.009701537,0,0.587310426,0,0.053594846
165,0.327588448,0,0,0,0.672411552,0,0
166,0.329171535,0.175287078,0.296014162,0,0.09409085,0,0.105436376
167,0.33175438,0,0,0,0.66824562,0,0
168,0.333766291,0.409075882,0.107464884,0,0.106615532,0.001723375,0.041354035
169,0.335356741,0.001971451,0,0,0.660920241,0,0.001751567
170,0.339225298,0.027607824,0,0,0.625458286,0,0.007708592
171,0.341242848,0,0.020194047,0,0.638563105,0,0
172,0.342567187,0.00118071,0,0.000349643,0.655902459,0,0
173,0.342703455,0.005476549,0,0,0.651819996,0,0
174,0.347042644,0.018814499,0,0.002903622,0.627108266,0,0.004130969
175,0.347305858,0.003262545,0,0,0.649431597,0,0
176,0.352970409,0.01047031,0,0.003346307,0.610564789,0,0.022648186
177,0.355024867,0,0,0,0.644975133,0,0
178,0.359618096,0.010763259,0,0,0.625686086,0,0.00393256
179,0.366382604,0.006250362,0,0,0.627367034,0,0
180,0.373132994,0,0,0,0.626867006,0,0
181,0.375597638,0,0,0,0.624402362,0,0
182,0.375755538,0.112755049,0.49088063,0,0.010986271,0,0.009622512
183,0.382781619,0.007626969,0,0.011994667,0.567508943,0,0.030087802
184,0.383196302,0.001306542,0.000629443,0,0.52441735,0.009384538,0.081065825
185,0.388847703,0.223900015,0.387252283,0,0,0,0
186,0.38987206,0.004379668,0.011698726,0,0.262808185,0.002794875,0.328446486
187,0.39633085,0.007018739,0,0,0.546880841,0,0.04976957
188,0.400506989,0,0.011227315,0,0.568829424,0.016319392,0.00311688
189,0.401213536,0.543055782,0.043050392,0.002549255,0.010131035,0,0
190,0.403067451,0,0,0,0.596932549,0,0
191,0.408006666,0.00434571,0.107139074,0,0.478279166,0,0.002229384
192,0.412419512,0.002082059,0,0.00040377,0.582861032,0,0.002233628
193,0.41945525,0,0,0.006033639,0.571630339,0.001238279,0.001642493
194,0.421818789,0.012249445,0.001566807,0.002979551,0.543656644,0,0.017728764
195,0.422604948,0.025513959,0.148924706,0,0.367324316,0.006991925,0.028640146
196,0.423963103,0.026121777,0,0,0.54991512,0,0
197,0.425217031,0,0,0,0.574782969,0,0
198,0.426543558,0.016788707,0,0,0.165183687,0.013187573,0.378296475
199,0.440892973,0.003036784,0.006837221,0,0.449713258,0.023906512,0.075613252
200,0.455126891,0,0,0.001794559,0.518388108,0,0.024690443
201,0.455472826,0,0,0,0.544527174,0,0
202,0.460323561,0.146689594,0.024624957,0.003206382,0.349025337,0,0.016130169
203,0.466890875,0.10198197,0.431127156,0,0,0,0
204,0.46890924,0.004392588,0,0,0.526044326,0,0.000653847
205,0.475238941,0.185712111,0.148160059,0,0.190888889,0,0
206,0.475785724,0.178815172,0,0,0.345399104,0,0
207,0.477433399,0.004882549,0.00941672,0.00163858,0.483382102,0.0086362,0.014610451
208,0.489944508,0.001248132,0.000951166,0.000359261,0.506443487,0,0.001053446
